draw,pearson_r
0,0.20664512823225453
1,0.21162102046423784
2,0.2010989512522953
3,0.18998511140980492
4,0.15575287777993985
5,0.2164948602755185
6,0.22038994309034332
7,0.21709095204601225
8,0.22074257028560063
9,0.20149331502255408
10,0.19689093528174817
11,0.16425158375404716
12,0.2516124645987683
13,0.18516669144807504
14,0.20496385956721128
15,0.20169045987373482
16,0.19929965448190307
17,0.22500603213981663
18,0.2028560374217702
19,0.19580158935624875
20,0.1897126070791479
21,0.18832335902430872
22,0.15407338211112798
23,0.18882320475803988
24,0.2001120169904789
25,0.18462128663366914
26,0.15565859840840512
27,0.21870430075286584
28,0.2182546337857766
29,0.18696186480750027
30,0.19464770247730329
31,0.19680672455016565
32,0.21977025233635158
33,0.20036281018398452
34,0.21257161940473634
35,0.16597942455426984
36,0.1978391262416022
37,0.1719933077653587
38,0.1875793663369646
39,0.18720940013946225
40,0.18974983873823045
41,0.21943000319643594
42,0.19777218250613238
43,0.1962237357191417
44,0.20135701949083631
45,0.18657325362396063
46,0.20830416049095604
47,0.16532321044741438
48,0.18361718062987645
49,0.18003928196566257
50,0.22209820641395447
51,0.15491499622724866
52,0.20485247035649617
53,0.18341245914934215
54,0.2316146421590931
55,0.19388824718696643
56,0.20661069407978463
57,0.20916480024374443
58,0.20059959007221326
59,0.16316670267113653
60,0.18566553743517372
61,0.17848300932504638
62,0.18883961976199892
63,0.23053780774988764
64,0.18199258933572443
65,0.22769038191946425
66,0.20560496156651611
67,0.2044635375215175
68,0.22574508908512936
69,0.2074063296608549
70,0.20955526579403755
71,0.19692742285200693
72,0.18467964987948127
73,0.18939263236915255
74,0.2428085193540093
75,0.19649123037493826
76,0.1904752822354033
77,0.18792230411419464
78,0.2026652267927655
79,0.2248627490544538
80,0.19253018251095655
81,0.22316599074090482
82,0.21510891910226115
83,0.15588440650846733
84,0.18568104621304188
85,0.15730652052593652
86,0.15515752109576347
87,0.20877808972951964
88,0.19422556791810464
89,0.18401546153125078
90,0.21336957079973068
91,0.16557100132622649
92,0.1807767432352507
93,0.23064695267590127
94,0.23357708839844032
95,0.20893080430556527
96,0.19257072960722926
97,0.17910858977013758
98,0.2217239323253985
99,0.19519013354972484
