split,split_label,assay_id,consensus_ko_pearson,q25,q75,n_methods,difficulty
field_holdout_sanity,Field,5xupre::Biohub_OPS0001,0.7151960032505307,0.7121913699501656,0.7189888247474453,10,Intermediate (0.60–0.75)
field_holdout_sanity,Field,5xupre::Biohub_OPS0005,0.7081418352390452,0.7012354735902849,0.7105615889977511,10,Intermediate (0.60–0.75)
field_holdout_sanity,Field,5xupre::Biohub_OPS0006,0.7067808502146666,0.7043261906705144,0.714063476262877,10,Intermediate (0.60–0.75)
field_holdout_sanity,Field,5xupre::Biohub_OPS0007,0.6960844981775773,0.689543177050695,0.6980714577526315,10,Intermediate (0.60–0.75)
field_holdout_sanity,Field,5xupre::Biohub_OPS0008,0.7181269278131335,0.7094038980476567,0.7244203701379103,10,Intermediate (0.60–0.75)
field_holdout_sanity,Field,5xupre::Biohub_OPS0009,0.7000467811015548,0.6931896150959109,0.7008516090795289,10,Intermediate (0.60–0.75)
field_holdout_sanity,Field,actin_filament_fastact_spy555_live_cell_dye::Biohub_OPS0033,0.889046823729466,0.8842628787212561,0.898707398907417,10,Readable (≥0.75)
field_holdout_sanity,Field,actin_filament_fastact_spy555_live_cell_dye::Biohub_OPS0065,0.8691129823591883,0.8605633570680772,0.8793849849636023,10,Readable (≥0.75)
field_holdout_sanity,Field,actin_filament_fastact_spy555_live_cell_dye::Biohub_OPS0072,0.9111196520247079,0.8953365752496186,0.9165427186854227,10,Readable (≥0.75)
field_holdout_sanity,Field,actin_filament_fastact_spy555_live_cell_dye::Biohub_OPS0074,0.8765803380850634,0.8683552040577824,0.8862812722004092,10,Readable (≥0.75)
field_holdout_sanity,Field,actin_filament_fastact_spy555_live_cell_dye::Biohub_OPS0076,0.8341434931290087,0.8187191625921679,0.8469393364137737,10,Readable (≥0.75)
field_holdout_sanity,Field,autophagosome_atg101::Biohub_OPS0031,0.6446953749010136,0.6206899863157408,0.6571491272129323,10,Intermediate (0.60–0.75)
field_holdout_sanity,Field,autophagosome_atg101::Biohub_OPS0054,0.6283452626029964,0.5950776885757382,0.6328913592971903,10,Intermediate (0.60–0.75)
field_holdout_sanity,Field,autophagosome_map1lc3b::Biohub_OPS0016,0.6386776046616307,0.6249112805389214,0.6516751817573276,10,Intermediate (0.60–0.75)
field_holdout_sanity,Field,autophagosome_map1lc3b::Biohub_OPS0017,0.6296578485898363,0.5542039615405665,0.6457925831311331,10,Intermediate (0.60–0.75)
field_holdout_sanity,Field,autophagosome_map1lc3b::Biohub_OPS0040,0.8762532866358307,0.8683250734284476,0.8822339120956059,10,Readable (≥0.75)
field_holdout_sanity,Field,b-catenin::Biohub_OPS0077,0.5188180685328829,0.4684423640468003,0.5232395373527472,10,Hard (<0.60)
field_holdout_sanity,Field,c-myc::Biohub_OPS0077,0.4987877020129301,0.48492644362690307,0.5097949945060236,10,Hard (<0.60)
field_holdout_sanity,Field,caspase_activity_cellevent-caspase_live-cell_dye::Biohub_OPS0050,0.5715652433235345,0.522748058717926,0.5813648851199644,10,Hard (<0.60)
field_holdout_sanity,Field,caspase_activity_cellevent-caspase_live-cell_dye::Biohub_OPS0073,0.5063320709561072,0.45056520653524956,0.5145614069824,10,Hard (<0.60)
field_holdout_sanity,Field,cell_proliferation_marker_mki67::Biohub_OPS0045,0.581027359669835,0.555920537056472,0.5882416189805629,10,Hard (<0.60)
