draw,permuted_r2,permutation_seed,observed_r2,n_reporters_complete_case
0,0.07476196316043793,20260848,0.387126991102116,35
1,0.029516259664969846,20260848,0.387126991102116,35
2,0.14537167234503756,20260848,0.387126991102116,35
3,0.10712302179111954,20260848,0.387126991102116,35
4,0.0954660525702753,20260848,0.387126991102116,35
5,0.025222568360101616,20260848,0.387126991102116,35
6,0.027919883843791626,20260848,0.387126991102116,35
7,0.029282020689681332,20260848,0.387126991102116,35
8,0.10648564029192509,20260848,0.387126991102116,35
9,0.10428553482032965,20260848,0.387126991102116,35
10,0.05170878191644257,20260848,0.387126991102116,35
11,0.25082480507175464,20260848,0.387126991102116,35
12,0.03242606468906595,20260848,0.387126991102116,35
13,0.011258308679434892,20260848,0.387126991102116,35
14,0.07397872028208097,20260848,0.387126991102116,35
15,0.06062866149259116,20260848,0.387126991102116,35
16,0.10830186594786995,20260848,0.387126991102116,35
17,0.12774393645624593,20260848,0.387126991102116,35
18,0.009311064525037271,20260848,0.387126991102116,35
19,0.04836721158571,20260848,0.387126991102116,35
20,0.14109244165546253,20260848,0.387126991102116,35
21,0.029149335109485586,20260848,0.387126991102116,35
22,0.025756949755305625,20260848,0.387126991102116,35
23,0.08057851207897304,20260848,0.387126991102116,35
24,0.032730253258934416,20260848,0.387126991102116,35
25,0.17100476348296823,20260848,0.387126991102116,35
26,0.005038671505149694,20260848,0.387126991102116,35
27,0.023639590166396385,20260848,0.387126991102116,35
28,0.033301758261955916,20260848,0.387126991102116,35
29,0.022708397420092674,20260848,0.387126991102116,35
30,0.19555660056734825,20260848,0.387126991102116,35
31,0.060949597027825875,20260848,0.387126991102116,35
32,0.08524580452793673,20260848,0.387126991102116,35
33,0.036559715245662705,20260848,0.387126991102116,35
34,0.14520674956869428,20260848,0.387126991102116,35
35,0.02394854095496879,20260848,0.387126991102116,35
36,0.03764402500531017,20260848,0.387126991102116,35
37,0.10022125525476155,20260848,0.387126991102116,35
38,0.022684598819059598,20260848,0.387126991102116,35
39,0.010011087113648842,20260848,0.387126991102116,35
40,0.1431957257231281,20260848,0.387126991102116,35
41,0.14744952903413489,20260848,0.387126991102116,35
42,0.142361481159462,20260848,0.387126991102116,35
43,0.01193853697575753,20260848,0.387126991102116,35
44,0.08451650790010146,20260848,0.387126991102116,35
45,0.11903881776070191,20260848,0.387126991102116,35
46,0.02162129286415182,20260848,0.387126991102116,35
47,0.04994597358698283,20260848,0.387126991102116,35
48,0.00355585161144667,20260848,0.387126991102116,35
49,0.040189074825701,20260848,0.387126991102116,35
50,0.0775170627319729,20260848,0.387126991102116,35
51,0.019922602096064113,20260848,0.387126991102116,35
52,0.002864723665269797,20260848,0.387126991102116,35
53,0.1814838968243645,20260848,0.387126991102116,35
54,0.028685394932907005,20260848,0.387126991102116,35
55,0.20732650137372655,20260848,0.387126991102116,35
56,0.07038535519416933,20260848,0.387126991102116,35
57,0.033028708644758153,20260848,0.387126991102116,35
58,0.03423776828224623,20260848,0.387126991102116,35
59,0.18576050228630359,20260848,0.387126991102116,35
60,0.06578788255112211,20260848,0.387126991102116,35
61,0.02463242576334057,20260848,0.387126991102116,35
62,0.13949330305849017,20260848,0.387126991102116,35
63,0.016491432585208576,20260848,0.387126991102116,35
64,0.12399685575582853,20260848,0.387126991102116,35
65,0.09967293476591577,20260848,0.387126991102116,35
66,0.060509429917121604,20260848,0.387126991102116,35
67,0.13029901490150997,20260848,0.387126991102116,35
68,0.07982749091116537,20260848,0.387126991102116,35
69,0.03683593365555615,20260848,0.387126991102116,35
70,0.08370590700245872,20260848,0.387126991102116,35
71,0.219732739197963,20260848,0.387126991102116,35
72,0.1377784264936588,20260848,0.387126991102116,35
73,0.06588628959569487,20260848,0.387126991102116,35
74,0.07950945399328246,20260848,0.387126991102116,35
75,0.13362269443722308,20260848,0.387126991102116,35
