run_state,method_id,reference_state,reference_method_id,reference_tier,tier,reliability_pass,n_reporters
checkpoint_average,catboost_multirmse,checkpoint_average,coherent_median_ensemble,measurement_required,measurement_required,True,3
checkpoint_average,catboost_multirmse,checkpoint_average,coherent_median_ensemble,not_identifiable,not_identifiable,False,9
checkpoint_average,catboost_multirmse,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,True,30
checkpoint_average,catboost_multirmse,checkpoint_average,coherent_median_ensemble,ranking_proxy,quantitative_proxy,True,1
checkpoint_average,catboost_multirmse,checkpoint_average,coherent_median_ensemble,ranking_proxy,ranking_proxy,True,6
checkpoint_average,catboost_multirmse,checkpoint_average,coherent_median_ensemble,unresolved,unresolved,True,3
checkpoint_average,coherent_median_ensemble,checkpoint_average,coherent_median_ensemble,measurement_required,measurement_required,True,3
checkpoint_average,coherent_median_ensemble,checkpoint_average,coherent_median_ensemble,not_identifiable,not_identifiable,False,9
checkpoint_average,coherent_median_ensemble,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,True,30
checkpoint_average,coherent_median_ensemble,checkpoint_average,coherent_median_ensemble,ranking_proxy,ranking_proxy,True,7
checkpoint_average,coherent_median_ensemble,checkpoint_average,coherent_median_ensemble,unresolved,unresolved,True,3
checkpoint_average,gbdt,checkpoint_average,coherent_median_ensemble,measurement_required,measurement_required,True,3
checkpoint_average,gbdt,checkpoint_average,coherent_median_ensemble,not_identifiable,not_identifiable,False,9
checkpoint_average,gbdt,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,True,30
checkpoint_average,gbdt,checkpoint_average,coherent_median_ensemble,ranking_proxy,quantitative_proxy,True,1
checkpoint_average,gbdt,checkpoint_average,coherent_median_ensemble,ranking_proxy,ranking_proxy,True,6
checkpoint_average,gbdt,checkpoint_average,coherent_median_ensemble,unresolved,unresolved,True,3
checkpoint_average,midas_ops,checkpoint_average,coherent_median_ensemble,measurement_required,measurement_required,True,3
checkpoint_average,midas_ops,checkpoint_average,coherent_median_ensemble,not_identifiable,not_identifiable,False,9
checkpoint_average,midas_ops,checkpoint_average,coherent_median_ensemble,quantitative_proxy,measurement_required,True,4
checkpoint_average,midas_ops,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,True,7
checkpoint_average,midas_ops,checkpoint_average,coherent_median_ensemble,quantitative_proxy,ranking_proxy,True,15
checkpoint_average,midas_ops,checkpoint_average,coherent_median_ensemble,quantitative_proxy,unresolved,True,4
checkpoint_average,midas_ops,checkpoint_average,coherent_median_ensemble,ranking_proxy,measurement_required,True,4
checkpoint_average,midas_ops,checkpoint_average,coherent_median_ensemble,ranking_proxy,ranking_proxy,True,3
checkpoint_average,midas_ops,checkpoint_average,coherent_median_ensemble,unresolved,measurement_required,True,2
checkpoint_average,midas_ops,checkpoint_average,coherent_median_ensemble,unresolved,unresolved,True,1
checkpoint_average,mlp,checkpoint_average,coherent_median_ensemble,measurement_required,measurement_required,True,3
checkpoint_average,mlp,checkpoint_average,coherent_median_ensemble,not_identifiable,not_identifiable,False,9
checkpoint_average,mlp,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,True,30
checkpoint_average,mlp,checkpoint_average,coherent_median_ensemble,ranking_proxy,quantitative_proxy,True,1
checkpoint_average,mlp,checkpoint_average,coherent_median_ensemble,ranking_proxy,ranking_proxy,True,6
checkpoint_average,mlp,checkpoint_average,coherent_median_ensemble,unresolved,unresolved,True,3
checkpoint_average,multitab_pilot,checkpoint_average,coherent_median_ensemble,measurement_required,measurement_required,True,3
checkpoint_average,multitab_pilot,checkpoint_average,coherent_median_ensemble,not_identifiable,not_identifiable,False,9
checkpoint_average,multitab_pilot,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,True,30
checkpoint_average,multitab_pilot,checkpoint_average,coherent_median_ensemble,ranking_proxy,ranking_proxy,True,7
checkpoint_average,multitab_pilot,checkpoint_average,coherent_median_ensemble,unresolved,unresolved,True,3
checkpoint_average,resmlp_52head,checkpoint_average,coherent_median_ensemble,measurement_required,measurement_required,True,3
checkpoint_average,resmlp_52head,checkpoint_average,coherent_median_ensemble,not_identifiable,not_identifiable,False,9
checkpoint_average,resmlp_52head,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,True,28
checkpoint_average,resmlp_52head,checkpoint_average,coherent_median_ensemble,quantitative_proxy,ranking_proxy,True,2
checkpoint_average,resmlp_52head,checkpoint_average,coherent_median_ensemble,ranking_proxy,quantitative_proxy,True,1
checkpoint_average,resmlp_52head,checkpoint_average,coherent_median_ensemble,ranking_proxy,ranking_proxy,True,5
checkpoint_average,resmlp_52head,checkpoint_average,coherent_median_ensemble,ranking_proxy,unresolved,True,1
checkpoint_average,resmlp_52head,checkpoint_average,coherent_median_ensemble,unresolved,unresolved,True,3
checkpoint_average,ridge,checkpoint_average,coherent_median_ensemble,measurement_required,measurement_required,True,3
checkpoint_average,ridge,checkpoint_average,coherent_median_ensemble,not_identifiable,not_identifiable,False,9
checkpoint_average,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,True,29
checkpoint_average,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,ranking_proxy,True,1
checkpoint_average,ridge,checkpoint_average,coherent_median_ensemble,ranking_proxy,quantitative_proxy,True,1
checkpoint_average,ridge,checkpoint_average,coherent_median_ensemble,ranking_proxy,ranking_proxy,True,6
checkpoint_average,ridge,checkpoint_average,coherent_median_ensemble,unresolved,unresolved,True,3
checkpoint_average,scbutterfly_ops_b,checkpoint_average,coherent_median_ensemble,measurement_required,measurement_required,True,3
checkpoint_average,scbutterfly_ops_b,checkpoint_average,coherent_median_ensemble,not_identifiable,not_identifiable,False,9
checkpoint_average,scbutterfly_ops_b,checkpoint_average,coherent_median_ensemble,quantitative_proxy,measurement_required,True,4
checkpoint_average,scbutterfly_ops_b,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,True,14
checkpoint_average,scbutterfly_ops_b,checkpoint_average,coherent_median_ensemble,quantitative_proxy,ranking_proxy,True,10
checkpoint_average,scbutterfly_ops_b,checkpoint_average,coherent_median_ensemble,quantitative_proxy,unresolved,True,2
checkpoint_average,scbutterfly_ops_b,checkpoint_average,coherent_median_ensemble,ranking_proxy,measurement_required,True,4
checkpoint_average,scbutterfly_ops_b,checkpoint_average,coherent_median_ensemble,ranking_proxy,ranking_proxy,True,3
checkpoint_average,scbutterfly_ops_b,checkpoint_average,coherent_median_ensemble,unresolved,measurement_required,True,1
checkpoint_average,scbutterfly_ops_b,checkpoint_average,coherent_median_ensemble,unresolved,unresolved,True,2
