split_label,unit,consensus,lo,hi,q25,q75,n_methods
Field,Biohub_OPS0001,0.7995471971680316,0.7281993082044049,0.8128913773861726,0.7959684787253937,0.8032206383200402,10
Field,Biohub_OPS0002,0.6415646249742974,0.5612408307204145,0.6747532437914544,0.6230317284439009,0.6506288236138915,10
Field,Biohub_OPS0003,0.8857176122054344,0.8495192123087425,0.8951697081936593,0.8843850566771777,0.8898746355276368,10
Field,Biohub_OPS0004,0.8740458101584192,0.8333479677155654,0.8851789377740101,0.8728161398132085,0.8793582105742475,10
Field,Biohub_OPS0005,0.760904226481558,0.6903100638877384,0.7763711672511526,0.7562882375154819,0.764403210666765,10
Field,Biohub_OPS0006,0.7221101371302239,0.6493069788702732,0.7338235657367241,0.7169771166658712,0.7286311212324678,10
Field,Biohub_OPS0007,0.7175534539851024,0.6548813420180264,0.7284093975438501,0.7119330970649504,0.7204837803020177,10
Field,Biohub_OPS0008,0.7642603528145455,0.6993440278197143,0.7739931114684726,0.7576154381197516,0.7703395135885721,10
Field,Biohub_OPS0009,0.7398921763365888,0.6736068975721458,0.7509559639396348,0.7338166839649832,0.7419937732014468,10
Field,Biohub_OPS0011,0.6706796510614539,0.4585063060606146,0.6877755180397308,0.654505189449005,0.6817076935940422,10
Field,Biohub_OPS0012,0.7579726118774337,0.533281115884393,0.7772230517168603,0.735125098940485,0.7711270201710206,10
Field,Biohub_OPS0013,0.7164467571611637,0.5258934599990425,0.736137297534602,0.6987764201325377,0.7275367630348577,10
Field,Biohub_OPS0014,0.8624928525982276,0.5253344982487806,0.8812665516685833,0.7990791622513274,0.8705258610722086,10
Field,Biohub_OPS0015,0.6945401991427946,0.5801733870701494,0.7156582131357997,0.6697566026034956,0.7050984721987497,10
Field,Biohub_OPS0016,0.6354866332652739,0.4335330818424542,0.6700289988337825,0.623738589473009,0.6489402968149973,10
Field,Biohub_OPS0017,0.6288352815874048,0.0928181617799281,0.665810554736566,0.551559806407756,0.6448452120366184,10
Field,Biohub_OPS0018,0.8574617339511358,0.7592729811596693,0.8754612793178896,0.8518858337519235,0.8671739102805749,10
Field,Biohub_OPS0019,0.8929517833501195,0.735265087763506,0.9068549480371136,0.8758867020643241,0.8946308922380226,10
Field,Biohub_OPS0020,0.7569920881098895,0.5194559839178576,0.7796666017954085,0.7409728105542441,0.7680991693858281,10
Field,Biohub_OPS0021,0.7655680537383005,0.5551711801438146,0.7866608742107474,0.7309080767063374,0.7812968464518237,10
Field,Biohub_OPS0022,0.695915020860987,0.5780322693585142,0.7569452763630276,0.6578059693376235,0.744395826855799,10
Field,Biohub_OPS0023,0.633350601138096,0.4787959802764207,0.6775397760102964,0.5503121605890174,0.6547879626664683,10
Field,Biohub_OPS0025,0.8123948418745616,0.6715216108997563,0.8376825307299942,0.7979550844612451,0.8183714330906228,10
Field,Biohub_OPS0026,0.8991697652453017,0.7990915536192965,0.9114392407845556,0.8961048273106224,0.9049859397523216,10
Field,Biohub_OPS0027,0.8017568664780306,0.58538383711795,0.8289966478367984,0.7870387543067446,0.8152899891095287,10
Field,Biohub_OPS0028,0.8324213878504196,0.7980856030528205,0.8481426060133345,0.8236235472411128,0.8412578162590704,10
Field,Biohub_OPS0029,0.5884647878732108,0.4652568673855823,0.6219271965983022,0.5673975729288513,0.5979694830811247,10
Field,Biohub_OPS0030,0.6873309064028081,0.4984870744802925,0.6990793899186195,0.6674468659621966,0.6940916763269336,10
Field,Biohub_OPS0031,0.6422442967102207,0.3751305944381669,0.6598493257101913,0.6186249681097451,0.6552153320326746,10
Field,Biohub_OPS0032,0.6804854322398324,0.4766461471480112,0.6927734314988725,0.6613693611138673,0.6860431401739432,10
Field,Biohub_OPS0033,0.8883353992642995,0.8409760556841097,0.9002799659089179,0.883627023338805,0.898061665597478,10
Field,Biohub_OPS0034,0.8791641660283886,0.7622714842977714,0.8944443365503463,0.8731650914815178,0.889740080802959,10
Field,Biohub_OPS0035,0.8884680575690187,0.7816362814563546,0.9009865361518404,0.883670945481765,0.8950874514101335,10
Field,Biohub_OPS0036,0.6738238560808789,0.5453157678655097,0.715235829446601,0.6352696684497545,0.7053318092301164,10
Field,Biohub_OPS0037,0.9027446745467981,0.8464370242584676,0.912147233517486,0.8958428482785793,0.9082463422209238,10
Field,Biohub_OPS0039,0.875279144228504,0.7199122055224265,0.8850508176507614,0.8683531929240376,0.8821563886120589,10
Field,Biohub_OPS0040,0.8765493576022352,0.7861722335456136,0.8910059173646481,0.8685467881482043,0.8818472229038958,10
Field,Biohub_OPS0041,0.4840796651378827,0.359642954028196,0.525198781546886,0.4614295419663266,0.5111465516974649,10
Field,Biohub_OPS0042,0.7255382107699002,0.2189917000819733,0.7530186908802431,0.6316792311310263,0.7323802199756377,10
Field,Biohub_OPS0043,0.640156123274858,0.5579677381874648,0.6544986494349289,0.6041254376714471,0.6473327143275037,10
Field,Biohub_OPS0044,0.8885643449682197,0.8309023589015823,0.9021933982407914,0.8766960860942777,0.8970869822773574,10
Field,Biohub_OPS0045,0.6400844815984543,0.4677373102148376,0.6747867671472076,0.5818453980232796,0.6610385181064782,10
Field,Biohub_OPS0046,0.749839350315295,0.6110525736507696,0.7557646712306543,0.7105991470118078,0.7544648923378161,10
Field,Biohub_OPS0047,0.8658515196473329,0.6313638613457234,0.891301085002822,0.7888559400675984,0.8773021277220798,10
Field,Biohub_OPS0048,0.70441964437933,0.6423303178309617,0.7561015463763061,0.6785747317523121,0.7305604808211265,10
Field,Biohub_OPS0050,0.5589831124867084,0.4039431059050797,0.5721525257593963,0.4920806807150319,0.5680489065658172,10
Field,Biohub_OPS0051,0.6972875991357539,0.6529406456792911,0.7288703491686311,0.6741907324231795,0.7130632697908128,10
Field,Biohub_OPS0052,0.5674746232965976,0.4260625489046997,0.5787063083264127,0.5576442046410495,0.5744773456797999,10
Field,Biohub_OPS0053,0.593414195179276,0.3067897833742848,0.697302684595952,0.5109957421019872,0.6356234205802045,10
Field,Biohub_OPS0054,0.6225274531297402,0.3850435911495402,0.637371989727249,0.5910598814420123,0.6268457162836317,10
Field,Biohub_OPS0055,0.9113401095838255,0.8592124399682426,0.9200492084357382,0.90589768852462,0.9171692825505855,10
Field,Biohub_OPS0056,0.899552045855941,0.8220146159932908,0.9200865175102956,0.882561549320468,0.9062312864303963,10
Field,Biohub_OPS0057,0.7133719256493046,0.5198001326829191,0.7371576781365807,0.6919471246424478,0.7252155026652423,10
Field,Biohub_OPS0058,0.7529417166101396,0.549371736266339,0.7751346597384688,0.7459586194776879,0.7575940211507574,10
Field,Biohub_OPS0059,0.5811799568426061,0.3637472974914209,0.5949123255879013,0.5436641821398566,0.5911293306191598,10
Field,Biohub_OPS0060,0.8400621960575216,0.6342020394948602,0.8701952877268541,0.8238949491145771,0.8540592720766554,10
Field,Biohub_OPS0061,0.6959701583242376,0.5187537220004164,0.7401892196435429,0.6380098637605653,0.7182076382766285,10
Field,Biohub_OPS0062,0.7139884600230667,0.4950875351752384,0.7410176263434101,0.6636004565554345,0.7238013000690318,10
Field,Biohub_OPS0063,0.7240861468233697,0.6015645823999355,0.7605300468043356,0.7167074853115367,0.7396654734580876,10
Field,Biohub_OPS0064,0.6706040957438097,0.5591294940632193,0.6921574579951157,0.654955206358611,0.6823905770586246,10
Field,Biohub_OPS0065,0.7147188238557088,0.6321978911144395,0.7345320834865194,0.7076732503059061,0.723935975328177,10
Field,Biohub_OPS0066,0.8854101338793141,0.7550080617220042,0.9039110722406796,0.8780025885247467,0.8955143790811357,10
Field,Biohub_OPS0067,0.28260922645020614,0.0090077837370639,0.5594970798625599,0.18348865034410264,0.3842951236926987,10
Field,Biohub_OPS0068,0.6379023450999055,0.5749059069989495,0.6503209502678612,0.6178315996433443,0.6481298726656001,10
Field,Biohub_OPS0069,0.6065746251059108,0.504557657517679,0.6308963044661093,0.5894216362898584,0.6185432871890184,10
Field,Biohub_OPS0070,0.4593955456458828,0.3811800235833826,0.482475250448423,0.4285541219160892,0.46753114954968666,10
